PayRunID,EmployeeID,PayDate,AnnualLeaveAccruedHours,PersonalLeaveAccruedHours,LeaveTakenHours,ClosingAnnualLeaveHours,ClosingPersonalLeaveHours
PAY-20250728-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/07/2025,12.67,6.33,0.00,12.67,6.33
PAY-20250728-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/07/2025,0.00,0.00,0.00,0.00,0.00
PAY-20250828-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/08/2025,12.67,6.33,0.00,25.34,12.66
PAY-20250828-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/08/2025,0.00,0.00,0.00,0.00,0.00
PAY-20250928-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/09/2025,12.67,6.33,0.00,38.01,18.99
PAY-20250928-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/09/2025,0.00,0.00,0.00,0.00,0.00
PAY-20251028-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/10/2025,12.67,6.33,0.00,50.68,25.32
PAY-20251028-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/10/2025,0.00,0.00,0.00,0.00,0.00
PAY-20251128-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/11/2025,12.67,6.33,0.00,63.35,31.65
PAY-20251128-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/11/2025,0.00,0.00,0.00,0.00,0.00
PAY-20251228-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/12/2025,12.67,6.33,0.00,76.02,37.98
PAY-20251228-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/12/2025,0.00,0.00,0.00,0.00,0.00
PAY-20260128-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/01/2026,12.67,6.33,0.00,88.69,44.31
PAY-20260128-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/01/2026,0.00,0.00,0.00,0.00,0.00
PAY-20260228-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/02/2026,12.67,6.33,0.00,101.36,50.64
PAY-20260228-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/02/2026,0.00,0.00,0.00,0.00,0.00
PAY-20260328-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/03/2026,12.67,6.33,0.00,114.03,56.97
PAY-20260328-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/03/2026,0.00,0.00,0.00,0.00,0.00
PAY-20260428-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/04/2026,12.67,6.33,0.00,126.70,63.30
PAY-20260428-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/04/2026,0.00,0.00,0.00,0.00,0.00
PAY-20260528-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/05/2026,12.67,6.33,0.00,139.37,69.63
PAY-20260528-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/05/2026,0.00,0.00,0.00,0.00,0.00
PAY-20260628-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,28/06/2026,12.67,6.33,0.00,152.04,75.96
PAY-20260628-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,28/06/2026,0.00,0.00,0.00,0.00,0.00
