PayRunID,EmployeeID,EmployeeName,PayDate,Frequency,GrossPay,PAYGWithholding,NetPay,EmployerSuperSG,BankNetWageSerial,BankPAYGSerial,BankSuperSerial
PAY-20250728-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,Olivia Office Admin,28/07/2025,monthly,4629.73,754.00,3875.73,555.57,PAYNET-PAY-20250728-EMP-OLIVIA-ADMIN,PAYG-PAY-20250728-EMP-OLIVIA-ADMIN,SUPER-PAY-20250728-EMP-OLIVIA-ADMIN
PAY-20250728-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,Charlie Cleaner,28/07/2025,monthly,827.16,0.00,827.16,99.26,PAYNET-PAY-20250728-EMP-CHARLIE-CLEANER,PAYG-PAY-20250728-EMP-CHARLIE-CLEANER,SUPER-PAY-20250728-EMP-CHARLIE-CLEANER
PAY-20250828-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,Olivia Office Admin,28/08/2025,monthly,4629.73,754.00,3875.73,555.57,PAYNET-PAY-20250828-EMP-OLIVIA-ADMIN,PAYG-PAY-20250828-EMP-OLIVIA-ADMIN,SUPER-PAY-20250828-EMP-OLIVIA-ADMIN
PAY-20250828-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,Charlie Cleaner,28/08/2025,monthly,827.16,0.00,827.16,99.26,PAYNET-PAY-20250828-EMP-CHARLIE-CLEANER,PAYG-PAY-20250828-EMP-CHARLIE-CLEANER,SUPER-PAY-20250828-EMP-CHARLIE-CLEANER
PAY-20250928-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,Olivia Office Admin,28/09/2025,monthly,4629.73,754.00,3875.73,555.57,PAYNET-PAY-20250928-EMP-OLIVIA-ADMIN,PAYG-PAY-20250928-EMP-OLIVIA-ADMIN,SUPER-PAY-20250928-EMP-OLIVIA-ADMIN
PAY-20250928-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,Charlie Cleaner,28/09/2025,monthly,827.16,0.00,827.16,99.26,PAYNET-PAY-20250928-EMP-CHARLIE-CLEANER,PAYG-PAY-20250928-EMP-CHARLIE-CLEANER,SUPER-PAY-20250928-EMP-CHARLIE-CLEANER
PAY-20251028-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,Olivia Office Admin,28/10/2025,monthly,4629.73,754.00,3875.73,555.57,PAYNET-PAY-20251028-EMP-OLIVIA-ADMIN,PAYG-PAY-20251028-EMP-OLIVIA-ADMIN,SUPER-PAY-20251028-EMP-OLIVIA-ADMIN
PAY-20251028-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,Charlie Cleaner,28/10/2025,monthly,827.16,0.00,827.16,99.26,PAYNET-PAY-20251028-EMP-CHARLIE-CLEANER,PAYG-PAY-20251028-EMP-CHARLIE-CLEANER,SUPER-PAY-20251028-EMP-CHARLIE-CLEANER
PAY-20251128-EMP-OLIVIA-ADMIN,EMP-OLIVIA-ADMIN,Olivia Office Admin,28/11/2025,monthly,4629.73,754.00,3875.73,555.57,PAYNET-PAY-20251128-EMP-OLIVIA-ADMIN,PAYG-PAY-20251128-EMP-OLIVIA-ADMIN,SUPER-PAY-20251128-EMP-OLIVIA-ADMIN
PAY-20251128-EMP-CHARLIE-CLEANER,EMP-CHARLIE-CLEANER,Charlie Cleaner,28/11/2025,monthly,827.16,0.00,827.16,99.26,PAYNET-PAY-20251128-EMP-CHARLIE-CLEANER,PAYG-PAY-20251128-EMP-CHARLIE-CLEANER,SUPER-PAY-20251128-EMP-CHARLIE-CLEANER
