Bank Account,Date,Narrative,Debit Amount,Credit Amount,Balance,Categories,Serial
099999123452,04/07/2026,WITHDRAWAL-OSKO PAYMENT Bank BANKFEE-202606,35.00,,318676.71,PAYMENT,BTP-000048
099999123452,26/06/2026,SUPER CLEARING HOUSE Riley Retail Casual PAY-20260626-EMP-RILEY-RETAIL-CASUAL,99.57,,318711.71,SUPER,SUPER-PAY-20260626-EMP-RILEY-RETAIL-CASUAL
099999123452,26/06/2026,SUPER CLEARING HOUSE Priya Retail Supervisor PAY-20260626-EMP-PRIYA-RETAIL-SUP,144.28,,318811.28,SUPER,SUPER-PAY-20260626-EMP-PRIYA-RETAIL-SUP
099999123452,26/06/2026,SUPER CLEARING HOUSE Marco Hospitality Casual PAY-20260626-EMP-MARCO-HOSP-CASUAL,85.31,,318955.56,SUPER,SUPER-PAY-20260626-EMP-MARCO-HOSP-CASUAL
099999123452,26/06/2026,SUPER CLEARING HOUSE Hana Cafe Part-time PAY-20260626-EMP-HANA-CAFE-PARTTIME,62.04,,319040.87,SUPER,SUPER-PAY-20260626-EMP-HANA-CAFE-PARTTIME
099999123452,26/06/2026,PAYROLL NET WAGE Riley Retail Casual PAY-20260626-EMP-RILEY-RETAIL-CASUAL,737.75,,319102.91,PAYROLL,PAYNET-PAY-20260626-EMP-RILEY-RETAIL-CASUAL
099999123452,26/06/2026,PAYROLL NET WAGE Priya Retail Supervisor PAY-20260626-EMP-PRIYA-RETAIL-SUP,994.32,,319840.66,PAYROLL,PAYNET-PAY-20260626-EMP-PRIYA-RETAIL-SUP
099999123452,26/06/2026,PAYROLL NET WAGE Marco Hospitality Casual PAY-20260626-EMP-MARCO-HOSP-CASUAL,640.90,,320834.98,PAYROLL,PAYNET-PAY-20260626-EMP-MARCO-HOSP-CASUAL
099999123452,26/06/2026,PAYROLL NET WAGE Hana Cafe Part-time PAY-20260626-EMP-HANA-CAFE-PARTTIME,491.00,,321475.88,PAYROLL,PAYNET-PAY-20260626-EMP-HANA-CAFE-PARTTIME
099999123452,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Riley Retail Casual PAY-20260626-EMP-RILEY-RETAIL-CASUAL,92.00,,321966.88,PAYROLL_TAX,PAYG-PAY-20260626-EMP-RILEY-RETAIL-CASUAL
099999123452,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Priya Retail Supervisor PAY-20260626-EMP-PRIYA-RETAIL-SUP,208.00,,322058.88,PAYROLL_TAX,PAYG-PAY-20260626-EMP-PRIYA-RETAIL-SUP
099999123452,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Marco Hospitality Casual PAY-20260626-EMP-MARCO-HOSP-CASUAL,70.00,,322266.88,PAYROLL_TAX,PAYG-PAY-20260626-EMP-MARCO-HOSP-CASUAL
099999123452,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Hana Cafe Part-time PAY-20260626-EMP-HANA-CAFE-PARTTIME,26.00,,322336.88,PAYROLL_TAX,PAYG-PAY-20260626-EMP-HANA-CAFE-PARTTIME
099999123452,25/06/2026,WITHDRAWAL-OSKO PAYMENT Peak Local Marketing Pty Ltd CONTRACT-202606,1980.00,,322362.88,PAYMENT,BTP-000047
099999123452,22/06/2026,WITHDRAWAL-OSKO PAYMENT Cloud Software Vendors SOFT-202606,1045.00,,324342.88,PAYMENT,BTP-000046
099999123452,19/06/2026,SUPER CLEARING HOUSE Riley Retail Casual PAY-20260619-EMP-RILEY-RETAIL-CASUAL,99.57,,325387.88,SUPER,SUPER-PAY-20260619-EMP-RILEY-RETAIL-CASUAL
099999123452,19/06/2026,SUPER CLEARING HOUSE Priya Retail Supervisor PAY-20260619-EMP-PRIYA-RETAIL-SUP,144.28,,325487.45,SUPER,SUPER-PAY-20260619-EMP-PRIYA-RETAIL-SUP
