PayRunID,EmployeeID,EmployeeName,IncomeType,GrossAmount,PAYGWithholding,SuperLiability,TaxTreatmentCode,EmploymentBasis,AwardCode,STPReady
PAY-20250704-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,Riley Retail Casual,SalaryAndWages,829.75,92.00,99.57,RT,casual,MA000004,TRUE
PAY-20250704-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,Priya Retail Supervisor,SalaryAndWages,1202.32,208.00,144.28,RT,full_time,MA000004,TRUE
PAY-20250704-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,Hana Cafe Part-time,SalaryAndWages,517.00,26.00,62.04,RT,part_time,MA000009,TRUE
PAY-20250704-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,Marco Hospitality Casual,SalaryAndWages,258.48,0.00,31.02,RT,casual,MA000009,TRUE
PAY-20250711-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,Riley Retail Casual,SalaryAndWages,829.75,92.00,99.57,RT,casual,MA000004,TRUE
PAY-20250711-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,Priya Retail Supervisor,SalaryAndWages,1202.32,208.00,144.28,RT,full_time,MA000004,TRUE
PAY-20250711-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,Hana Cafe Part-time,SalaryAndWages,517.00,26.00,62.04,RT,part_time,MA000009,TRUE
PAY-20250711-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,Marco Hospitality Casual,SalaryAndWages,258.48,0.00,31.02,RT,casual,MA000009,TRUE
PAY-20250718-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,Riley Retail Casual,SalaryAndWages,829.75,92.00,99.57,RT,casual,MA000004,TRUE
PAY-20250718-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,Priya Retail Supervisor,SalaryAndWages,1202.32,208.00,144.28,RT,full_time,MA000004,TRUE
PAY-20250718-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,Hana Cafe Part-time,SalaryAndWages,517.00,26.00,62.04,RT,part_time,MA000009,TRUE
PAY-20250718-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,Marco Hospitality Casual,SalaryAndWages,258.48,0.00,31.02,RT,casual,MA000009,TRUE
PAY-20250725-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,Riley Retail Casual,SalaryAndWages,829.75,92.00,99.57,RT,casual,MA000004,TRUE
PAY-20250725-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,Priya Retail Supervisor,SalaryAndWages,1202.32,208.00,144.28,RT,full_time,MA000004,TRUE
PAY-20250725-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,Hana Cafe Part-time,SalaryAndWages,517.00,26.00,62.04,RT,part_time,MA000009,TRUE
PAY-20250725-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,Marco Hospitality Casual,SalaryAndWages,452.38,14.00,54.29,RT,casual,MA000009,TRUE
PAY-20250801-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,Riley Retail Casual,SalaryAndWages,829.75,92.00,99.57,RT,casual,MA000004,TRUE
PAY-20250801-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,Priya Retail Supervisor,SalaryAndWages,1202.32,208.00,144.28,RT,full_time,MA000004,TRUE
PAY-20250801-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,Hana Cafe Part-time,SalaryAndWages,517.00,26.00,62.04,RT,part_time,MA000009,TRUE
