JournalID,Date,Source,Account,Debit,Credit,Memo
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,6000 Wages and Salaries Expense,829.75,,Gross wages Riley Retail Casual
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,6010 Superannuation Expense,99.57,,SG expense Riley Retail Casual
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2300 PAYG Withholding Payable,,92.00,PAYG withheld
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2310 Superannuation Payable,,99.57,SG liability
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2320 Net Wages Payable,,737.75,Net wages payable
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2320 Net Wages Payable,737.75,,Net wage bank payment clearing
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,1000 Bank Operating Account,,737.75,Net wage bank payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2300 PAYG Withholding Payable,92.00,,PAYG remittance clearing
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,1000 Bank Operating Account,,92.00,PAYG remittance to ATO
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,2310 Superannuation Payable,99.57,,Super clearing house payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-RILEY-RETAIL-CASUAL,1000 Bank Operating Account,,99.57,Super clearing house bank payment
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-PRIYA-RETAIL-SUP,6000 Wages and Salaries Expense,1202.32,,Gross wages Priya Retail Supervisor
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-PRIYA-RETAIL-SUP,6010 Superannuation Expense,144.28,,SG expense Priya Retail Supervisor
JNL-000001,04/07/2025,Payroll PAY-20250704-EMP-PRIYA-RETAIL-SUP,2300 PAYG Withholding Payable,,208.00,PAYG withheld
