PayRunID,EmployeeID,PayItemID,PayComponent,AwardCode,Classification,Hours,Rate,Amount,PAYGIncluded,OTEForSuper,STPPhase2Classification,AuthorityRefs
PAY-20250704-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250704-EMP-RILEY-RETAIL-CASUAL-ITEM-1,retail_casual_ordinary,MA000004,Retail Employee Level 1,10.00,33.19,331.90,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-ordinary
PAY-20250704-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250704-EMP-RILEY-RETAIL-CASUAL-ITEM-2,retail_casual_evening_after_6pm,MA000004,Retail Employee Level 1,4.00,39.83,159.32,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-evening
PAY-20250704-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250704-EMP-RILEY-RETAIL-CASUAL-ITEM-3,retail_casual_saturday,MA000004,Retail Employee Level 1,5.00,39.83,199.15,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-saturday
PAY-20250704-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250704-EMP-RILEY-RETAIL-CASUAL-ITEM-4,retail_casual_sunday,MA000004,Retail Employee Level 1,3.00,46.46,139.38,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-sunday
PAY-20250704-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,PAY-20250704-EMP-PRIYA-RETAIL-SUP-ITEM-1,ordinary_time,MA000004,Retail Employee Level 4,38.00,31.64,1202.32,TRUE,TRUE,Gross,MA000004:Retail-Level4-minimum-rate; NES-leave
PAY-20250704-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,PAY-20250704-EMP-HANA-CAFE-PARTTIME-ITEM-1,ordinary_time_part_time,MA000009,Level 2,20.00,25.85,517.00,TRUE,TRUE,Gross,MA000009:Level2-minimum-rate; NES-leave-prorata
PAY-20250704-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,PAY-20250704-EMP-MARCO-HOSP-CASUAL-ITEM-1,hospitality_casual_ordinary,MA000009,Level 2,8.00,32.31,258.48,TRUE,TRUE,Gross,MA000009:Level2-casual-ordinary
PAY-20250711-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250711-EMP-RILEY-RETAIL-CASUAL-ITEM-1,retail_casual_ordinary,MA000004,Retail Employee Level 1,10.00,33.19,331.90,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-ordinary
PAY-20250711-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250711-EMP-RILEY-RETAIL-CASUAL-ITEM-2,retail_casual_evening_after_6pm,MA000004,Retail Employee Level 1,4.00,39.83,159.32,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-evening
PAY-20250711-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250711-EMP-RILEY-RETAIL-CASUAL-ITEM-3,retail_casual_saturday,MA000004,Retail Employee Level 1,5.00,39.83,199.15,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-saturday
PAY-20250711-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250711-EMP-RILEY-RETAIL-CASUAL-ITEM-4,retail_casual_sunday,MA000004,Retail Employee Level 1,3.00,46.46,139.38,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-sunday
PAY-20250711-EMP-PRIYA-RETAIL-SUP,EMP-PRIYA-RETAIL-SUP,PAY-20250711-EMP-PRIYA-RETAIL-SUP-ITEM-1,ordinary_time,MA000004,Retail Employee Level 4,38.00,31.64,1202.32,TRUE,TRUE,Gross,MA000004:Retail-Level4-minimum-rate; NES-leave
PAY-20250711-EMP-HANA-CAFE-PARTTIME,EMP-HANA-CAFE-PARTTIME,PAY-20250711-EMP-HANA-CAFE-PARTTIME-ITEM-1,ordinary_time_part_time,MA000009,Level 2,20.00,25.85,517.00,TRUE,TRUE,Gross,MA000009:Level2-minimum-rate; NES-leave-prorata
PAY-20250711-EMP-MARCO-HOSP-CASUAL,EMP-MARCO-HOSP-CASUAL,PAY-20250711-EMP-MARCO-HOSP-CASUAL-ITEM-1,hospitality_casual_ordinary,MA000009,Level 2,8.00,32.31,258.48,TRUE,TRUE,Gross,MA000009:Level2-casual-ordinary
PAY-20250718-EMP-RILEY-RETAIL-CASUAL,EMP-RILEY-RETAIL-CASUAL,PAY-20250718-EMP-RILEY-RETAIL-CASUAL-ITEM-1,retail_casual_ordinary,MA000004,Retail Employee Level 1,10.00,33.19,331.90,TRUE,TRUE,Gross,MA000004:Retail-Level1-casual-ordinary
