Bank Account,Date,Narrative,Debit Amount,Credit Amount,Balance,Categories,Serial
099999123453,04/07/2026,WITHDRAWAL-OSKO PAYMENT Bank BANKFEE-202606,35.00,,430801.40,PAYMENT,BTP-000048
099999123453,26/06/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260626-EMP-NINA-SALES,128.63,,430836.40,SUPER,SUPER-PAY-20260626-EMP-NINA-SALES
099999123453,26/06/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260626-EMP-GRACE-HIG,438.46,,430965.03,SUPER,SUPER-PAY-20260626-EMP-GRACE-HIG
099999123453,26/06/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260626-EMP-BEN-BUILDER,140.65,,431403.49,SUPER,SUPER-PAY-20260626-EMP-BEN-BUILDER
099999123453,26/06/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260626-EMP-AMARA-ENGINEER,207.69,,431544.14,SUPER,SUPER-PAY-20260626-EMP-AMARA-ENGINEER
099999123453,26/06/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260626-EMP-NINA-SALES,896.90,,431751.83,PAYROLL,PAYNET-PAY-20260626-EMP-NINA-SALES
099999123453,26/06/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260626-EMP-GRACE-HIG,2449.85,,432648.73,PAYROLL,PAYNET-PAY-20260626-EMP-GRACE-HIG
099999123453,26/06/2026,PAYROLL NET WAGE Ben Builder PAY-20260626-EMP-BEN-BUILDER,966.10,,435098.58,PAYROLL,PAYNET-PAY-20260626-EMP-BEN-BUILDER
099999123453,26/06/2026,PAYROLL NET WAGE Amara Engineer PAY-20260626-EMP-AMARA-ENGINEER,1326.77,,436064.68,PAYROLL,PAYNET-PAY-20260626-EMP-AMARA-ENGINEER
099999123453,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260626-EMP-NINA-SALES,175.00,,437391.45,PAYROLL_TAX,PAYG-PAY-20260626-EMP-NINA-SALES
099999123453,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260626-EMP-GRACE-HIG,1204.00,,437566.45,PAYROLL_TAX,PAYG-PAY-20260626-EMP-GRACE-HIG
099999123453,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260626-EMP-BEN-BUILDER,206.00,,438770.45,PAYROLL_TAX,PAYG-PAY-20260626-EMP-BEN-BUILDER
099999123453,26/06/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260626-EMP-AMARA-ENGINEER,404.00,,438976.45,PAYROLL_TAX,PAYG-PAY-20260626-EMP-AMARA-ENGINEER
099999123453,25/06/2026,WITHDRAWAL-OSKO PAYMENT Liam Surveying Contractors Pty Ltd CONTRACT-202606,3520.00,,439380.45,PAYMENT,BTP-000047
099999123453,22/06/2026,WITHDRAWAL-OSKO PAYMENT Cloud Software Vendors SOFT-202606,1595.00,,442900.45,PAYMENT,BTP-000046
099999123453,19/06/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260619-EMP-NINA-SALES,128.63,,444495.45,SUPER,SUPER-PAY-20260619-EMP-NINA-SALES
099999123453,19/06/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260619-EMP-GRACE-HIG,438.46,,444624.08,SUPER,SUPER-PAY-20260619-EMP-GRACE-HIG
099999123453,19/06/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260619-EMP-BEN-BUILDER,140.65,,445062.54,SUPER,SUPER-PAY-20260619-EMP-BEN-BUILDER
099999123453,19/06/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260619-EMP-AMARA-ENGINEER,207.69,,445203.19,SUPER,SUPER-PAY-20260619-EMP-AMARA-ENGINEER
099999123453,19/06/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260619-EMP-NINA-SALES,896.90,,445410.88,PAYROLL,PAYNET-PAY-20260619-EMP-NINA-SALES
099999123453,19/06/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260619-EMP-GRACE-HIG,2449.85,,446307.78,PAYROLL,PAYNET-PAY-20260619-EMP-GRACE-HIG
099999123453,19/06/2026,PAYROLL NET WAGE Ben Builder PAY-20260619-EMP-BEN-BUILDER,966.10,,448757.63,PAYROLL,PAYNET-PAY-20260619-EMP-BEN-BUILDER
099999123453,19/06/2026,PAYROLL NET WAGE Amara Engineer PAY-20260619-EMP-AMARA-ENGINEER,1326.77,,449723.73,PAYROLL,PAYNET-PAY-20260619-EMP-AMARA-ENGINEER
099999123453,19/06/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260619-EMP-NINA-SALES,175.00,,451050.50,PAYROLL_TAX,PAYG-PAY-20260619-EMP-NINA-SALES
099999123453,19/06/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260619-EMP-GRACE-HIG,1204.00,,451225.50,PAYROLL_TAX,PAYG-PAY-20260619-EMP-GRACE-HIG
099999123453,19/06/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260619-EMP-BEN-BUILDER,206.00,,452429.50,PAYROLL_TAX,PAYG-PAY-20260619-EMP-BEN-BUILDER
099999123453,19/06/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260619-EMP-AMARA-ENGINEER,404.00,,452635.50,PAYROLL_TAX,PAYG-PAY-20260619-EMP-AMARA-ENGINEER
099999123453,18/06/2026,DEPOSIT OSKO PAYMENT Project Client A INV-012,,86900.00,453039.50,DEP,BTR-000012
099999123453,16/06/2026,WITHDRAWAL-OSKO PAYMENT Harbour Property Trust RENT-202606,10120.00,,366139.50,PAYMENT,BTP-000045
099999123453,12/06/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260612-EMP-NINA-SALES,128.63,,376259.50,SUPER,SUPER-PAY-20260612-EMP-NINA-SALES
099999123453,12/06/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260612-EMP-GRACE-HIG,438.46,,376388.13,SUPER,SUPER-PAY-20260612-EMP-GRACE-HIG
099999123453,12/06/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260612-EMP-BEN-BUILDER,140.65,,376826.59,SUPER,SUPER-PAY-20260612-EMP-BEN-BUILDER
099999123453,12/06/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260612-EMP-AMARA-ENGINEER,207.69,,376967.24,SUPER,SUPER-PAY-20260612-EMP-AMARA-ENGINEER
099999123453,12/06/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260612-EMP-NINA-SALES,896.90,,377174.93,PAYROLL,PAYNET-PAY-20260612-EMP-NINA-SALES
099999123453,12/06/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260612-EMP-GRACE-HIG,2449.85,,378071.83,PAYROLL,PAYNET-PAY-20260612-EMP-GRACE-HIG
099999123453,12/06/2026,PAYROLL NET WAGE Ben Builder PAY-20260612-EMP-BEN-BUILDER,980.10,,380521.68,PAYROLL,PAYNET-PAY-20260612-EMP-BEN-BUILDER
099999123453,12/06/2026,PAYROLL NET WAGE Amara Engineer PAY-20260612-EMP-AMARA-ENGINEER,1326.77,,381501.78,PAYROLL,PAYNET-PAY-20260612-EMP-AMARA-ENGINEER
099999123453,12/06/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260612-EMP-NINA-SALES,175.00,,382828.55,PAYROLL_TAX,PAYG-PAY-20260612-EMP-NINA-SALES
099999123453,12/06/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260612-EMP-GRACE-HIG,1204.00,,383003.55,PAYROLL_TAX,PAYG-PAY-20260612-EMP-GRACE-HIG
099999123453,12/06/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260612-EMP-BEN-BUILDER,211.00,,384207.55,PAYROLL_TAX,PAYG-PAY-20260612-EMP-BEN-BUILDER
099999123453,12/06/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260612-EMP-AMARA-ENGINEER,404.00,,384418.55,PAYROLL_TAX,PAYG-PAY-20260612-EMP-AMARA-ENGINEER
099999123453,05/06/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260605-EMP-NINA-SALES,272.63,,384822.55,SUPER,SUPER-PAY-20260605-EMP-NINA-SALES
099999123453,05/06/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260605-EMP-GRACE-HIG,438.46,,385095.18,SUPER,SUPER-PAY-20260605-EMP-GRACE-HIG
099999123453,05/06/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260605-EMP-BEN-BUILDER,140.65,,385533.64,SUPER,SUPER-PAY-20260605-EMP-BEN-BUILDER
099999123453,05/06/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260605-EMP-AMARA-ENGINEER,207.69,,385674.29,SUPER,SUPER-PAY-20260605-EMP-AMARA-ENGINEER
099999123453,05/06/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260605-EMP-NINA-SALES,1666.90,,385881.98,PAYROLL,PAYNET-PAY-20260605-EMP-NINA-SALES
099999123453,05/06/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260605-EMP-GRACE-HIG,2449.85,,387548.88,PAYROLL,PAYNET-PAY-20260605-EMP-GRACE-HIG
099999123453,05/06/2026,PAYROLL NET WAGE Ben Builder PAY-20260605-EMP-BEN-BUILDER,966.10,,389998.73,PAYROLL,PAYNET-PAY-20260605-EMP-BEN-BUILDER
099999123453,05/06/2026,PAYROLL NET WAGE Amara Engineer PAY-20260605-EMP-AMARA-ENGINEER,1326.77,,390964.83,PAYROLL,PAYNET-PAY-20260605-EMP-AMARA-ENGINEER
099999123453,05/06/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260605-EMP-NINA-SALES,605.00,,392291.60,PAYROLL_TAX,PAYG-PAY-20260605-EMP-NINA-SALES
099999123453,05/06/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260605-EMP-GRACE-HIG,1204.00,,392896.60,PAYROLL_TAX,PAYG-PAY-20260605-EMP-GRACE-HIG
099999123453,05/06/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260605-EMP-BEN-BUILDER,206.00,,394100.60,PAYROLL_TAX,PAYG-PAY-20260605-EMP-BEN-BUILDER
099999123453,05/06/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260605-EMP-AMARA-ENGINEER,404.00,,394306.60,PAYROLL_TAX,PAYG-PAY-20260605-EMP-AMARA-ENGINEER
099999123453,03/06/2026,WITHDRAWAL-OSKO PAYMENT Bank BANKFEE-202605,35.00,,394710.60,PAYMENT,BTP-000044
099999123453,29/05/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260529-EMP-NINA-SALES,128.63,,394745.60,SUPER,SUPER-PAY-20260529-EMP-NINA-SALES
099999123453,29/05/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260529-EMP-GRACE-HIG,438.46,,394874.23,SUPER,SUPER-PAY-20260529-EMP-GRACE-HIG
099999123453,29/05/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260529-EMP-BEN-BUILDER,140.65,,395312.69,SUPER,SUPER-PAY-20260529-EMP-BEN-BUILDER
099999123453,29/05/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260529-EMP-AMARA-ENGINEER,207.69,,395453.34,SUPER,SUPER-PAY-20260529-EMP-AMARA-ENGINEER
099999123453,29/05/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260529-EMP-NINA-SALES,896.90,,395661.03,PAYROLL,PAYNET-PAY-20260529-EMP-NINA-SALES
099999123453,29/05/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260529-EMP-GRACE-HIG,2449.85,,396557.93,PAYROLL,PAYNET-PAY-20260529-EMP-GRACE-HIG
099999123453,29/05/2026,PAYROLL NET WAGE Ben Builder PAY-20260529-EMP-BEN-BUILDER,966.10,,399007.78,PAYROLL,PAYNET-PAY-20260529-EMP-BEN-BUILDER
099999123453,29/05/2026,PAYROLL NET WAGE Amara Engineer PAY-20260529-EMP-AMARA-ENGINEER,1326.77,,399973.88,PAYROLL,PAYNET-PAY-20260529-EMP-AMARA-ENGINEER
099999123453,29/05/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260529-EMP-NINA-SALES,175.00,,401300.65,PAYROLL_TAX,PAYG-PAY-20260529-EMP-NINA-SALES
099999123453,29/05/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260529-EMP-GRACE-HIG,1204.00,,401475.65,PAYROLL_TAX,PAYG-PAY-20260529-EMP-GRACE-HIG
099999123453,29/05/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260529-EMP-BEN-BUILDER,206.00,,402679.65,PAYROLL_TAX,PAYG-PAY-20260529-EMP-BEN-BUILDER
099999123453,29/05/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260529-EMP-AMARA-ENGINEER,404.00,,402885.65,PAYROLL_TAX,PAYG-PAY-20260529-EMP-AMARA-ENGINEER
099999123453,25/05/2026,WITHDRAWAL-OSKO PAYMENT Liam Surveying Contractors Pty Ltd CONTRACT-202605,3520.00,,403289.65,PAYMENT,BTP-000043
099999123453,22/05/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260522-EMP-NINA-SALES,128.63,,406809.65,SUPER,SUPER-PAY-20260522-EMP-NINA-SALES
099999123453,22/05/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260522-EMP-GRACE-HIG,438.46,,406938.28,SUPER,SUPER-PAY-20260522-EMP-GRACE-HIG
099999123453,22/05/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260522-EMP-BEN-BUILDER,140.65,,407376.74,SUPER,SUPER-PAY-20260522-EMP-BEN-BUILDER
099999123453,22/05/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260522-EMP-AMARA-ENGINEER,207.69,,407517.39,SUPER,SUPER-PAY-20260522-EMP-AMARA-ENGINEER
099999123453,22/05/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260522-EMP-NINA-SALES,896.90,,407725.08,PAYROLL,PAYNET-PAY-20260522-EMP-NINA-SALES
099999123453,22/05/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260522-EMP-GRACE-HIG,2449.85,,408621.98,PAYROLL,PAYNET-PAY-20260522-EMP-GRACE-HIG
099999123453,22/05/2026,PAYROLL NET WAGE Ben Builder PAY-20260522-EMP-BEN-BUILDER,966.10,,411071.83,PAYROLL,PAYNET-PAY-20260522-EMP-BEN-BUILDER
099999123453,22/05/2026,PAYROLL NET WAGE Amara Engineer PAY-20260522-EMP-AMARA-ENGINEER,1326.77,,412037.93,PAYROLL,PAYNET-PAY-20260522-EMP-AMARA-ENGINEER
099999123453,22/05/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260522-EMP-NINA-SALES,175.00,,413364.70,PAYROLL_TAX,PAYG-PAY-20260522-EMP-NINA-SALES
099999123453,22/05/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260522-EMP-GRACE-HIG,1204.00,,413539.70,PAYROLL_TAX,PAYG-PAY-20260522-EMP-GRACE-HIG
099999123453,22/05/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260522-EMP-BEN-BUILDER,206.00,,414743.70,PAYROLL_TAX,PAYG-PAY-20260522-EMP-BEN-BUILDER
099999123453,22/05/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260522-EMP-AMARA-ENGINEER,404.00,,414949.70,PAYROLL_TAX,PAYG-PAY-20260522-EMP-AMARA-ENGINEER
099999123453,22/05/2026,WITHDRAWAL-OSKO PAYMENT Cloud Software Vendors SOFT-202605,1595.00,,415353.70,PAYMENT,BTP-000042
099999123453,18/05/2026,DEPOSIT OSKO PAYMENT Project Client C INV-011,,86625.00,416948.70,DEP,BTR-000011
099999123453,16/05/2026,WITHDRAWAL-OSKO PAYMENT Harbour Property Trust RENT-202605,10120.00,,330323.70,PAYMENT,BTP-000041
099999123453,15/05/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260515-EMP-NINA-SALES,128.63,,340443.70,SUPER,SUPER-PAY-20260515-EMP-NINA-SALES
099999123453,15/05/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260515-EMP-GRACE-HIG,438.46,,340572.33,SUPER,SUPER-PAY-20260515-EMP-GRACE-HIG
099999123453,15/05/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260515-EMP-BEN-BUILDER,140.65,,341010.79,SUPER,SUPER-PAY-20260515-EMP-BEN-BUILDER
099999123453,15/05/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260515-EMP-AMARA-ENGINEER,207.69,,341151.44,SUPER,SUPER-PAY-20260515-EMP-AMARA-ENGINEER
099999123453,15/05/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260515-EMP-NINA-SALES,896.90,,341359.13,PAYROLL,PAYNET-PAY-20260515-EMP-NINA-SALES
099999123453,15/05/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260515-EMP-GRACE-HIG,2449.85,,342256.03,PAYROLL,PAYNET-PAY-20260515-EMP-GRACE-HIG
099999123453,15/05/2026,PAYROLL NET WAGE Ben Builder PAY-20260515-EMP-BEN-BUILDER,966.10,,344705.88,PAYROLL,PAYNET-PAY-20260515-EMP-BEN-BUILDER
099999123453,15/05/2026,PAYROLL NET WAGE Amara Engineer PAY-20260515-EMP-AMARA-ENGINEER,1326.77,,345671.98,PAYROLL,PAYNET-PAY-20260515-EMP-AMARA-ENGINEER
099999123453,15/05/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260515-EMP-NINA-SALES,175.00,,346998.75,PAYROLL_TAX,PAYG-PAY-20260515-EMP-NINA-SALES
099999123453,15/05/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260515-EMP-GRACE-HIG,1204.00,,347173.75,PAYROLL_TAX,PAYG-PAY-20260515-EMP-GRACE-HIG
099999123453,15/05/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260515-EMP-BEN-BUILDER,206.00,,348377.75,PAYROLL_TAX,PAYG-PAY-20260515-EMP-BEN-BUILDER
099999123453,15/05/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260515-EMP-AMARA-ENGINEER,404.00,,348583.75,PAYROLL_TAX,PAYG-PAY-20260515-EMP-AMARA-ENGINEER
