PayRunID,EmployeeID,PayDate,AnnualLeaveAccruedHours,PersonalLeaveAccruedHours,LeaveTakenHours,ClosingAnnualLeaveHours,ClosingPersonalLeaveHours
PAY-20250704-EMP-BEN-BUILDER,EMP-BEN-BUILDER,04/07/2025,2.92,1.46,0.00,2.92,1.46
PAY-20250704-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,04/07/2025,2.92,1.46,0.00,2.92,1.46
PAY-20250704-EMP-NINA-SALES,EMP-NINA-SALES,04/07/2025,2.92,1.46,0.00,2.92,1.46
PAY-20250704-EMP-GRACE-HIG,EMP-GRACE-HIG,04/07/2025,2.92,1.46,0.00,2.92,1.46
PAY-20250711-EMP-BEN-BUILDER,EMP-BEN-BUILDER,11/07/2025,2.92,1.46,0.00,5.84,2.92
PAY-20250711-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,11/07/2025,2.92,1.46,0.00,5.84,2.92
PAY-20250711-EMP-NINA-SALES,EMP-NINA-SALES,11/07/2025,2.92,1.46,0.00,5.84,2.92
PAY-20250711-EMP-GRACE-HIG,EMP-GRACE-HIG,11/07/2025,2.92,1.46,0.00,5.84,2.92
PAY-20250718-EMP-BEN-BUILDER,EMP-BEN-BUILDER,18/07/2025,2.92,1.46,0.00,8.76,4.38
PAY-20250718-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,18/07/2025,2.92,1.46,0.00,8.76,4.38
PAY-20250718-EMP-NINA-SALES,EMP-NINA-SALES,18/07/2025,2.92,1.46,0.00,8.76,4.38
PAY-20250718-EMP-GRACE-HIG,EMP-GRACE-HIG,18/07/2025,2.92,1.46,0.00,8.76,4.38
PAY-20250725-EMP-BEN-BUILDER,EMP-BEN-BUILDER,25/07/2025,2.92,1.46,0.00,11.68,5.84
PAY-20250725-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,25/07/2025,2.92,1.46,0.00,11.68,5.84
