PayRunID,EmployeeID,EmployeeName,PayDate,Frequency,GrossPay,PAYGWithholding,NetPay,EmployerSuperSG,BankNetWageSerial,BankPAYGSerial,BankSuperSerial
PAY-20250704-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,04/07/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250704-EMP-BEN-BUILDER,PAYG-PAY-20250704-EMP-BEN-BUILDER,SUPER-PAY-20250704-EMP-BEN-BUILDER
PAY-20250704-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,04/07/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250704-EMP-AMARA-ENGINEER,PAYG-PAY-20250704-EMP-AMARA-ENGINEER,SUPER-PAY-20250704-EMP-AMARA-ENGINEER
PAY-20250704-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,04/07/2025,weekly,2271.90,550.00,1721.90,272.63,PAYNET-PAY-20250704-EMP-NINA-SALES,PAYG-PAY-20250704-EMP-NINA-SALES,SUPER-PAY-20250704-EMP-NINA-SALES
PAY-20250704-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,04/07/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250704-EMP-GRACE-HIG,PAYG-PAY-20250704-EMP-GRACE-HIG,SUPER-PAY-20250704-EMP-GRACE-HIG
PAY-20250711-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,11/07/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250711-EMP-BEN-BUILDER,PAYG-PAY-20250711-EMP-BEN-BUILDER,SUPER-PAY-20250711-EMP-BEN-BUILDER
PAY-20250711-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,11/07/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250711-EMP-AMARA-ENGINEER,PAYG-PAY-20250711-EMP-AMARA-ENGINEER,SUPER-PAY-20250711-EMP-AMARA-ENGINEER
PAY-20250711-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,11/07/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250711-EMP-NINA-SALES,PAYG-PAY-20250711-EMP-NINA-SALES,SUPER-PAY-20250711-EMP-NINA-SALES
PAY-20250711-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,11/07/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250711-EMP-GRACE-HIG,PAYG-PAY-20250711-EMP-GRACE-HIG,SUPER-PAY-20250711-EMP-GRACE-HIG
PAY-20250718-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,18/07/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250718-EMP-BEN-BUILDER,PAYG-PAY-20250718-EMP-BEN-BUILDER,SUPER-PAY-20250718-EMP-BEN-BUILDER
PAY-20250718-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,18/07/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250718-EMP-AMARA-ENGINEER,PAYG-PAY-20250718-EMP-AMARA-ENGINEER,SUPER-PAY-20250718-EMP-AMARA-ENGINEER
PAY-20250718-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,18/07/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250718-EMP-NINA-SALES,PAYG-PAY-20250718-EMP-NINA-SALES,SUPER-PAY-20250718-EMP-NINA-SALES
PAY-20250718-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,18/07/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250718-EMP-GRACE-HIG,PAYG-PAY-20250718-EMP-GRACE-HIG,SUPER-PAY-20250718-EMP-GRACE-HIG
PAY-20250725-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,25/07/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250725-EMP-BEN-BUILDER,PAYG-PAY-20250725-EMP-BEN-BUILDER,SUPER-PAY-20250725-EMP-BEN-BUILDER
PAY-20250725-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,25/07/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250725-EMP-AMARA-ENGINEER,PAYG-PAY-20250725-EMP-AMARA-ENGINEER,SUPER-PAY-20250725-EMP-AMARA-ENGINEER
PAY-20250725-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,25/07/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250725-EMP-NINA-SALES,PAYG-PAY-20250725-EMP-NINA-SALES,SUPER-PAY-20250725-EMP-NINA-SALES
PAY-20250725-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,25/07/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250725-EMP-GRACE-HIG,PAYG-PAY-20250725-EMP-GRACE-HIG,SUPER-PAY-20250725-EMP-GRACE-HIG
PAY-20250801-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,01/08/2025,weekly,1191.10,204.00,987.10,140.65,PAYNET-PAY-20250801-EMP-BEN-BUILDER,PAYG-PAY-20250801-EMP-BEN-BUILDER,SUPER-PAY-20250801-EMP-BEN-BUILDER
PAY-20250801-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,01/08/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250801-EMP-AMARA-ENGINEER,PAYG-PAY-20250801-EMP-AMARA-ENGINEER,SUPER-PAY-20250801-EMP-AMARA-ENGINEER
PAY-20250801-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,01/08/2025,weekly,2271.90,550.00,1721.90,272.63,PAYNET-PAY-20250801-EMP-NINA-SALES,PAYG-PAY-20250801-EMP-NINA-SALES,SUPER-PAY-20250801-EMP-NINA-SALES
PAY-20250801-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,01/08/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250801-EMP-GRACE-HIG,PAYG-PAY-20250801-EMP-GRACE-HIG,SUPER-PAY-20250801-EMP-GRACE-HIG
PAY-20250808-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,08/08/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250808-EMP-BEN-BUILDER,PAYG-PAY-20250808-EMP-BEN-BUILDER,SUPER-PAY-20250808-EMP-BEN-BUILDER
PAY-20250808-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,08/08/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250808-EMP-AMARA-ENGINEER,PAYG-PAY-20250808-EMP-AMARA-ENGINEER,SUPER-PAY-20250808-EMP-AMARA-ENGINEER
PAY-20250808-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,08/08/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250808-EMP-NINA-SALES,PAYG-PAY-20250808-EMP-NINA-SALES,SUPER-PAY-20250808-EMP-NINA-SALES
PAY-20250808-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,08/08/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250808-EMP-GRACE-HIG,PAYG-PAY-20250808-EMP-GRACE-HIG,SUPER-PAY-20250808-EMP-GRACE-HIG
PAY-20250815-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,15/08/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250815-EMP-BEN-BUILDER,PAYG-PAY-20250815-EMP-BEN-BUILDER,SUPER-PAY-20250815-EMP-BEN-BUILDER
PAY-20250815-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,15/08/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250815-EMP-AMARA-ENGINEER,PAYG-PAY-20250815-EMP-AMARA-ENGINEER,SUPER-PAY-20250815-EMP-AMARA-ENGINEER
PAY-20250815-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,15/08/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250815-EMP-NINA-SALES,PAYG-PAY-20250815-EMP-NINA-SALES,SUPER-PAY-20250815-EMP-NINA-SALES
PAY-20250815-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,15/08/2025,weekly,3653.85,1046.06,2607.79,438.46,PAYNET-PAY-20250815-EMP-GRACE-HIG,PAYG-PAY-20250815-EMP-GRACE-HIG,SUPER-PAY-20250815-EMP-GRACE-HIG
PAY-20250822-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,22/08/2025,weekly,1172.10,198.00,974.10,140.65,PAYNET-PAY-20250822-EMP-BEN-BUILDER,PAYG-PAY-20250822-EMP-BEN-BUILDER,SUPER-PAY-20250822-EMP-BEN-BUILDER
PAY-20250822-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,22/08/2025,weekly,1730.77,377.00,1353.77,207.69,PAYNET-PAY-20250822-EMP-AMARA-ENGINEER,PAYG-PAY-20250822-EMP-AMARA-ENGINEER,SUPER-PAY-20250822-EMP-AMARA-ENGINEER
PAY-20250822-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,22/08/2025,weekly,1071.90,165.00,906.90,128.63,PAYNET-PAY-20250822-EMP-NINA-SALES,PAYG-PAY-20250822-EMP-NINA-SALES,SUPER-PAY-20250822-EMP-NINA-SALES
