PayRunID,EmployeeID,EmployeeName,IncomeType,GrossAmount,PAYGWithholding,SuperLiability,TaxTreatmentCode,EmploymentBasis,AwardCode,STPReady
PAY-20250704-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250704-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250704-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20250704-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250711-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250711-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250711-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250711-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250718-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250718-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250718-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250718-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250725-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250725-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250725-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250725-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250801-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20250801-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250801-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20250801-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250808-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250808-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250808-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250808-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250815-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250815-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250815-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250815-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250822-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250822-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250822-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250822-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250829-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250829-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250829-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250829-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250905-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
