PayRunID,EmployeeID,PayDate,AnnualLeaveAccruedHours,PersonalLeaveAccruedHours,LeaveTakenHours,ClosingAnnualLeaveHours,ClosingPersonalLeaveHours
PAY-20250704-EMP-BEN-BUILDER,EMP-BEN-BUILDER,04/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250704-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,04/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250704-EMP-NINA-SALES,EMP-NINA-SALES,04/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250704-EMP-GRACE-HIG,EMP-GRACE-HIG,04/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250711-EMP-BEN-BUILDER,EMP-BEN-BUILDER,11/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250711-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,11/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250711-EMP-NINA-SALES,EMP-NINA-SALES,11/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250711-EMP-GRACE-HIG,EMP-GRACE-HIG,11/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250718-EMP-BEN-BUILDER,EMP-BEN-BUILDER,18/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250718-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,18/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250718-EMP-NINA-SALES,EMP-NINA-SALES,18/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250718-EMP-GRACE-HIG,EMP-GRACE-HIG,18/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250725-EMP-BEN-BUILDER,EMP-BEN-BUILDER,25/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250725-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,25/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250725-EMP-NINA-SALES,EMP-NINA-SALES,25/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250725-EMP-GRACE-HIG,EMP-GRACE-HIG,25/07/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250801-EMP-BEN-BUILDER,EMP-BEN-BUILDER,01/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250801-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,01/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250801-EMP-NINA-SALES,EMP-NINA-SALES,01/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250801-EMP-GRACE-HIG,EMP-GRACE-HIG,01/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250808-EMP-BEN-BUILDER,EMP-BEN-BUILDER,08/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250808-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,08/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250808-EMP-NINA-SALES,EMP-NINA-SALES,08/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250808-EMP-GRACE-HIG,EMP-GRACE-HIG,08/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250815-EMP-BEN-BUILDER,EMP-BEN-BUILDER,15/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250815-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,15/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250815-EMP-NINA-SALES,EMP-NINA-SALES,15/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250815-EMP-GRACE-HIG,EMP-GRACE-HIG,15/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250822-EMP-BEN-BUILDER,EMP-BEN-BUILDER,22/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250822-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,22/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250822-EMP-NINA-SALES,EMP-NINA-SALES,22/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250822-EMP-GRACE-HIG,EMP-GRACE-HIG,22/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250829-EMP-BEN-BUILDER,EMP-BEN-BUILDER,29/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250829-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,29/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250829-EMP-NINA-SALES,EMP-NINA-SALES,29/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250829-EMP-GRACE-HIG,EMP-GRACE-HIG,29/08/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250905-EMP-BEN-BUILDER,EMP-BEN-BUILDER,05/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250905-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,05/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250905-EMP-NINA-SALES,EMP-NINA-SALES,05/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250905-EMP-GRACE-HIG,EMP-GRACE-HIG,05/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250912-EMP-BEN-BUILDER,EMP-BEN-BUILDER,12/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250912-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,12/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250912-EMP-NINA-SALES,EMP-NINA-SALES,12/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250912-EMP-GRACE-HIG,EMP-GRACE-HIG,12/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250919-EMP-BEN-BUILDER,EMP-BEN-BUILDER,19/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250919-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,19/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250919-EMP-NINA-SALES,EMP-NINA-SALES,19/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250919-EMP-GRACE-HIG,EMP-GRACE-HIG,19/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250926-EMP-BEN-BUILDER,EMP-BEN-BUILDER,26/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250926-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,26/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250926-EMP-NINA-SALES,EMP-NINA-SALES,26/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20250926-EMP-GRACE-HIG,EMP-GRACE-HIG,26/09/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251003-EMP-BEN-BUILDER,EMP-BEN-BUILDER,03/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251003-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,03/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251003-EMP-NINA-SALES,EMP-NINA-SALES,03/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251003-EMP-GRACE-HIG,EMP-GRACE-HIG,03/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251010-EMP-BEN-BUILDER,EMP-BEN-BUILDER,10/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251010-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,10/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251010-EMP-NINA-SALES,EMP-NINA-SALES,10/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251010-EMP-GRACE-HIG,EMP-GRACE-HIG,10/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251017-EMP-BEN-BUILDER,EMP-BEN-BUILDER,17/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251017-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,17/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251017-EMP-NINA-SALES,EMP-NINA-SALES,17/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251017-EMP-GRACE-HIG,EMP-GRACE-HIG,17/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251024-EMP-BEN-BUILDER,EMP-BEN-BUILDER,24/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251024-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,24/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251024-EMP-NINA-SALES,EMP-NINA-SALES,24/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251024-EMP-GRACE-HIG,EMP-GRACE-HIG,24/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251031-EMP-BEN-BUILDER,EMP-BEN-BUILDER,31/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251031-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,31/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
PAY-20251031-EMP-NINA-SALES,EMP-NINA-SALES,31/10/2025,2.92,1.46,0.00,fixture-cumulative,fixture-cumulative
